name,gender
John Ventimiglia,m
Brittany Snow,f
George Harris,m
Ludwig Briand,m
Tony Hale,m
Jon Seda,m
Tommy Snider,m
Renato Scarpa,m
Michel Mella,m
James Doohan,m
Aaron Taylor-Johnson,m
Patrick Bouchitey,m
John Shaw,m
David Fischer,m
Michelle Monaghan,f
Rachel Sheen,f
Courtney B. Vance,m
Kady Cole,f
John Doman,m
Casey Affleck,m
Jimmy 'Jax' Pinchak,m
Beverly D'Angelo,f
E. Roger Mitchell,m
Christian Kane,m
Denzel Washington,m
Eleanor Bron,f
David Thewlis,m
Melanie Griffith,f
David Duchovny,m
Sayed Badreya,m
Filippo Scicchitano,m
Katie Crown,f
Gina-Raye Carter,f
Bill Stinchcomb,m
Art Carney,m
Ely Pouget,f
Lukas Haas,m
Bruce Campbell,m
Roseanne Barr,f
Fritz Leiber,m
Donald Sutherland,m
Amelia Cooke,f
Tommy Lee Jones,m
Jesse McCartney,m
Christopher Lee,m
Simon Pegg,m
Kimberly Dorsey,f
Vincent Riotta,m
Marshall Bell,m
Joy Behar,f
Dan Butler,m
Owen Wilson,m
Jesse James,m
James Murtaugh,m
Clea Lewis,f
Elisabeth Moss,f
Hunter Burke,m
Sönke Möhring,m
Colin McCredie,m
Carl Reindel,m
Ken Davitian,m
Andie MacDowell,f
Victor Spinetti,m
Larry King,m
Marisa Tomei,f
Murray Miller,m
Meshach Taylor,m
Jason Flemyng,m
Ron Lester,m
Patti LuPone,f
Anna Próchniak,f
Kristen Wiig,f
Miles Elliot,m
Jessie Anne Spence,f
Michelle Pfeiffer,f
Ben Rosenfield,m
Richard Clarke,m
Sean Bridgers,m
Rob Riggle,m
Megan Park,f
Rachel Specter,f
Deirdre Lovejoy,f
Cary Elwes,m
Troy Faruk,m
Ray Garvey,m
Courteney Cox,f
Miloud Mourad Benamara,m
Kornelia Horvath,f
Willem Dafoe,m
Mandy Patinkin,m
Phyllis Douglas,f
Sara Mornell,f
Josef Sommer,m
Elizabeth Berkley,f
Michael Lerner,m
Tom Wopat,m
Herb Reynolds,m
Fulvio Cecere,m
Byron Foulger,m
Stacy Martin,f
Desi Lydic,f
Joe Sheridan,m
Heather Matarazzo,f
Ryan Phillippe,m
Anson Mount,m
Casey Affleck,m
Kiersten Warren,f
Dorothy Green,f
Christian De Sica,m
Bruce Dern,m
Lorne Brass,m
Rene Rivera,m
Malieek Straughter,m
Jack McGee,m
Gugu Mbatha-Raw,f
Judd Lormand,m
Jonathan Keltz,m
Monique Candelaria,f
Mary Kay Place,f
Keith Charles,m
Travis Turner,m
Doris McCarthy,f
LL Cool J,m
James Bellamy,m
Rohini,f
Glen Powell,m
Kurt Raab,m
Mary Alice,f
Rhoda Griffis,f
Tahmoh Penikett,m
Arthur J. Nascarella,m
Tara Strong,f
Colin Firth,m
François Périer,m
Orlando Bloom,m
Lin Shaye,f
Ansel Elgort,m
Larri Thomas,f
Zachary Quinto,m
Taisha Monique Clark,f
Chuck Connors,m
Al Checco,m
Joanna Barnes,f
Basil Rathbone,m
Nora Miao,f
Sergio Leone,m
Marc Macaulay,m
Terele Pávez,f
Mehcad Brooks,m
Michael Dugan,m
Mary Elizabeth Winstead,f
Leon Rippy,m
Lysette Anthony,f
Rodrigo Puebla,m
Tracy Morgan,m
Oliver Platt,m
Michael Milhoan,m
Molly Shannon,f
Tony Leung Chiu-Wai,m
Stan Lee,m
John Cusack,m
Bruce Willis,m
Ellen McLain,f
Tom Tammi,m
Peter Outerbridge,m
Mylène Farmer,f
Danielle Savre,f
Jeffrey Combs,m
Woody Harrelson,m
Zoë Bell,f
Jack Angel,m
Leelee Sobieski,f
Ethan Suplee,m
Hélène Zidi,f
Ken Kells,m
Gita Reddy,f
Bonita Friedericy,f
Rosie Day,f
Mackintosh Muggleton,m
Brogan Hall,m
Amy Block,f
Bradley Cooper,m
Camille Mana,f
Joanna Scanlan,f
Max Delor,m
Darren Ewing,m
Melany Ochoa,f
Barbara Ross English,f
Beth Ostrosky,f
Dominique Dunne,f
Sharon Maughan,f
Chris Mulkey,m
Clint Dyer,m
Antonia Holfelder,f
Jon Foo,m
Thora Birch,f
Paula Prentiss,f
Stefan Nelet,m
Lindsay Schoneweis,f
Kevin Nash,m
Julian Fellowes,m
Melissa Bickerton,f
Mary Birdsong,f
Dominic Cooper,m
Jodie Foster,f
Mandy Moore,f
Ryan Wilson,m
Liliana Mumy,f
Leo White,m
Jessica Alba,f
Dan Hedaya,m
Kumiko Asou,f
Eddie Marsan,m
Betty Lou Gerson,f
Tika Sumpter,f
Dax Shepard,m
Ian Somerhalder,m
Ursula Yovich,f
Susanna Bequer,f
Kodi Smit-McPhee,m
Andrea Russett,f
Alexandra Vandernoot,f
Tony Curran,m
Joan Allen,f
Tress MacNeille,f
Tom Lister Jr.,m
Colin Fickes,m
Paul Freeman,m
Camilla Scott,f
Téa Leoni,f
Firmine Richard,f
Eddie Murphy,m
William Hootkins,m
Ariel Levy,m
Jim Klock,m
David Sparrow,m
Steve Coogan,m
Danny Bonaduce,m
Sebastian Armesto,m
David Calder,m
Ben Vereen,m
Tuck Milligan,m
Moneca S. Reid,f
Tobin Bell,m
Philippe Morier-Genoud,m
Brandon Rush,m
José Garcia,m
Najarra Townsend,f
Dan Ziskie,m
Peter Falk,m
J.T. Walsh,m
Slim Khezri,m
Ian Brennan,m
Carla Juri,f
John Rothman,m
Carol Sutton,f
Adrien Brody,m
Néstor Cantillana,m
Dearbhla Molloy,f
Bruce Davison,m
Alexander Skarsgård,m
Albert Augier,m
Pablo Schreiber,m
Scott Weinger,m
Carl Zittrer,m
Doug Bradley,m
