name,gender
Donald M. Ashton,m
Brad Silberling,m
Vince Deadrick Sr.,m
Robert Woodruff,m
Oliver Stapleton,m
Charles Haugk,m
Anthony Tran,m
Yakima Canutt,m
Mic Rodgers,m
Peter M. Lenkov,m
Rainer Klausmann,m
J. Michael Riva,m
Ray Yamagata,m
David F. Klassen,m
Dennis Gassner,m
Giovanni Storti,m
Lee Tamahori,m
Rick Ash,m
Subrata Mitra,m
Geoff Murphy,m
Gregory Peck,m
Irwin Winkler,m
Diana Napper,f
Amy Krell,f
Charles R. Rogers,m
Kevin Constant,m
Christian Colson,m
Tom Southwell,m
Alex Kurtzman,m
Mike J. Regan,m
Michael Cimino,m
Greg Snyder,m
Rick Thomas,m
Howard Shore,m
William Sarokin,m
Jane Austen,f
Marci Liroff,f
Chris Cornwell,m
Glenn Williamson,m
Ellen Greene,f
Klaus Badelt,m
Pam Dixon,f
Karen Koch,f
Nicolas Winding Refn,m
Doane Harrison,m
Edward Plumb,m
Patrick Murray,m
Sergio Mimica-Gezzan,m
Michael Giacchino,m
George Liddle,m
Terry O'Bright,m
Gavin Hood,m
Debra Neil-Fisher,f
Barry Mendel,m
Hans Zimmer,m
Larry Brezner,m
Michael Tronick,m
John Carpenter,m
Anna Worley,f
Kim Everett,f
Cassandra Kulukundis,f
Albert Husson,m
Shreya Ghoshal,f
Vince Filippone,m
William Fay,m
Craig Wood,m
Bryan Thomas,m
Patrick Tatopoulos,m
Stuart Gilmore,m
Robert How,m
Eddy Joseph,m
Tessa Ross,f
Kris Fullan Martinez,f
Jack Kirby,m
Tricia Wood,f
Paul Cantelon,m
Peter Turner,m
Alan Greisman,m
Robert Griffon Jr.,m
Terry Stacey,m
Karin Silvestri,f
Dean Semler,m
Chris Carpenter,m
Leigh Whannell,m
Tina Jones,f
Jerry Weintraub,m
Tanya Noel Hill,f
Jennifer Pyken,f
Lawrence D. Cohen,m
Charles Band,m
Brit Marling,f
Victor Du Bois,m
Kim Jee-woon,m
Ian Differ,m
Dona Holloway,f
David Webb Peoples,m
Gregory G. Hale,m
John Bloom,m
Tab Murphy,m
Peter Giuliano,m
Michael Keller,m
Nicolas Winding Refn,m
Jim Miller,m
Sarah Hauldren,f
Tim Johnson,m
Monica Levinson,f
Claudio Simonetti,m
Mark Irwin,m
Sebastian Gutierrez,m
David Fincher,m
Karan Johar,m
Paul Coogan,m
Janice Williams,f
Luc Besson,m
Andrew Davis,m
Edward Bernds,m
Todd Garner,m
Kevin Smith,m
Woody Allen,m
Kenneth Karman,m
Eddie Murphy,m
Philippe Le Sourd,m
Scott H. Eddo,m
Stephen Loomis,m
Dave Jordan,m
Eric Lalicata,m
Matthew F. Leonetti,m
Brett Ratner,m
Barry Morrow,m
Michele Weisler,f
Andrew Dominik,m
Judd Apatow,m
J.J. Makaro,m
Dean Devlin,m
Dariusz Wolski,m
Ray Hubley,m
Jay Presson Allen,m
Norman Ferguson,m
Larry Kemp,m
Laura Rister,f
Cindy Marty,f
Rob Young,m
Harvey Weinstein,m
Jina Jay,f
Marco Beltrami,m
Harry Gregson-Williams,m
Daniel C. McFadden,m
Carla Meyer,f
John Huston,m
Steve Oedekerk,m
William Yeh,m
Jay Tarses,m
Roy Walker,m
George Bernard Shaw,m
Bill Melendez,m
Jeff Schaffer,m
Craig McKay,m
Robert Alonzo,m
Irving Shulman,m
Tom Myers,m
Michael Tronick,m
Todd Black,m
Klaus Maeck,m
Roy Thomas,m
Daniel Pyne,m
Brian Richards,m
Simonetta Mariano,f
Danny Elfman,m
Robert De Niro,m
Gretchen Rau,f
Ferne Cassel,f
Joel Schumacher,m
Paul Cameron,m
Daniel Pisica,m
Yarrow Cheney,m
John Lee Hancock,m
Jeremy Thomas,m
Amanda Posey,f
Walter Hill,m
Richard LaGravenese,m
Tom Nursey,m
David S. Goyer,m
Mike Eley,m
William Kerr,m
Maurice Noble,m
Fausto Brizzi,m
Karl Freund,m
Jane Goldman,f
John Frazier,m
Harry Gregson-Williams,m
John Huston,m
Lisa Mae Fincannon,f
John Malkovich,m
Daniel Gerson,m
Jerry Bruckheimer,m
James Warner Bellah,m
Anna Pinnock,f
Jonathan McKinstry,m
William Ross,m
Charles Band,m
Cameron Crowe,m
Brian Avery,m
Agustín Almodóvar,m
David Niven Jr.,m
Jack Rapke,m
James Basevi,m
Scott Mosier,m
Donna Morong,f
Mark Auguste,m
Peter Jackson,m
Matthew F. Leonetti,m
Satyajit Ray,m
Kevin Costner,m
Pietro Scalia,m
