title,date,actors,staff,genres
Sense8: A Christmas Special,2016-12-23,"[Bae Doona, Jamie Clayton, Tina Desai, Tuppence Middleton, Toby Onwumere, Max Riemelt, Miguel Ángel Silvestre, Brian J. Smith, Eréndira Ibarra, Naveen Andrews, Terrence Mann, Daryl Hannah, Joe Pantoliano, Max Mauff, Dolores Heredia, Martin Wuttke]","[Lana Wachowski, J. Michael Straczynski, Lana Wachowski, Johnny Klimek, Tom Tykwer, John Toll, John Toll]","[Drama, Mystery, Science Fiction, Thriller]"
City of God,2002-02-05,"[Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva, Jonathan Haagensen, Matheus Nachtergaele, Seu Jorge, Alice Braga, Roberta Rodrigues, Darlan Cunha, Thiago Martins, Gero Camilo, Daniel Zettel]","[Fernando Meirelles, Paulo Lins, Andrea Barata Ribeiro, Mauricio Andrade Ramos, Walter Salles, Antonio Pinto, César Charlone, Daniel Rezende]","[Drama, Crime]"
Modern Times,1936-02-05,"[Charlie Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford, Chester Conklin, Hank Mann, Al Ernest Garcia, Richard Alexander, Murdock MacQuarrie, Wilfred Lucas, Sammy Stein, Gloria DeHaven]","[Charlie Chaplin, Charlie Chaplin, Charlie Chaplin, Ira H. Morgan, Roland Totheroh, Willard Nico, Al Ernest Garcia, Charlie Chaplin, J. Russell Spencer, Charles D. Hall, Charles D. Hall, J. Russell Spencer, Henry Bergman, Alfred Newman, Charlie Chaplin, Carter DeHaven, Bud Thackery, Frank Maher]","[Drama, Comedy]"
Dead Poets Society,1989-06-02,"[Robin Williams, Ethan Hawke, Robert Sean Leonard, Gale Hansen, Josh Charles, Dylan Kussman, Allelon Ruggiero, James Waterston, Norman Lloyd, Kurtwood Smith, Leon Pownall, George Martin, Alexandra Powers, Lara Flynn Boyle]","[Peter Weir, Tom Schulman, John Seale, Maurice Jarre, William M. Anderson, Steven Haft, Paul Junger Witt, Tony Thomas, Howard Feuer, Wendy Stites, Tom Schulman]",[Drama]
The Intouchables,2011-11-02,"[Omar Sy, Audrey Fleurot, Anne Le Ny, Clotilde Mollet, Alba Gaïa Bellugi, Salimata Kamate, Absa Diatou Toure, Dominique Daguier, François Caron, Thomas Solivéres, Grégoire Oestermann, Dorothée Brière, Joséphine de Meaux, Emilie Caen, Sylvain Lazard]","[Mathieu Vadepied, Mathieu Vadepied]","[Drama, Comedy]"
Se7en,1995-09-22,"[Brad Pitt, Morgan Freeman, Gwyneth Paltrow, John C. McGinley, Kevin Spacey, R. Lee Ermey, Richard Roundtree, Richard Schiff, Mark Boone Junior, John Cassini, Reg E. Cathey, Hawthorne James, Michael Massee, Leland Orser, Richard Portnow, Daniel Zacapa, Alfonso Freeman, Harris Savides]","[Andrew Kevin Walker, Phyllis Carlyle, Arnold Kopelson, Anne Kopelson, Howard Shore, Darius Khondji, Richard Francis-Bruce, Kerry Barden, Billy Hopkins, Suzanne Smith, Arthur Max, Gary Wissner, Clay A. Griffith, Michael Kaplan, Dan Kolsrud, David Fincher, Jack Keller]","[Crime, Mystery, Thriller]"
Paths of Glory,1957-09-18,"[Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready, Wayne Morris, Richard Anderson, Timothy Carey, Christiane Kubrick, Jerry Hausner, Peter Capell, Emile Meyer, Bert Freed, Kem Dibbs, James B. Harris]","[Stanley Kubrick, Stanley Kubrick, Stanley Kubrick, Jim Thompson, Kirk Douglas, James B. Harris, Gerald Fried, Georg Krause, Eva Kroll, Martin Müller, Franz-Josef Spieker]","[Drama, War]"
Wonder,2017-11-13,"[Jacob Tremblay, Julia Roberts, Owen Wilson, Izabela Vidovic, Mandy Patinkin, Daveed Diggs, Noah Jupe, Bryce Gheisar, Danielle Rose Russell, Elle McKinnon, Millie Davis, Ali Liebert, Nadji Jeter, Kyle Harrison Breitkopf, James A Hughes, Nicole Oliver, Rachel Hayward, Crystal Lowe, Steve Bacic]","[Stephen Chbosky, David Hoberman, Todd Lieberman, Mark Livolsi, Steve Conrad, Don Burgess, Deborah Aquila, Kara Eide, Tricia Wood, Kalina Ivanov, Monique Prudhomme, Dean Eilertson]",[Drama]
The Invisible Guest,2016-09-22,"[Mario Casas, Bárbara Lennie, David Selvas]","[Oriol Paulo, Oriol Paulo]","[Mystery, Crime, Thriller]"
Witness for the Prosecution,1957-12-17,"[Tyrone Power, Marlene Dietrich, Elsa Lanchester, John Williams, Henry Daniell, Ian Wolfe, Torin Thatcher, Norma Varden, Una O'Connor, Francis Compton, Ruta Lee, Bess Flowers, Leoda Richards, Patrick Aherne, Eddie Baker, Brandon Beach, Colin Kenny]","[Agatha Christie, Lawrence B. Marcus, Harry Kurnitz, Arthur Hornblow Jr., Leonid Raab, Daniel Mandell, Fred Lau, Emmett Emerson, Wally Westmore, Ernest Gold, Edward Small, Russell Harlan, Alexandre Trauner]","[Drama, Mystery, Crime]"
