name,gender
Timothy Carey,m
Memmo Carotenuto,m
Eitarô Ozawa,m
John McIntire,m
Virginia Cherrill,f
Scatman Crothers,m
Orlando Bloom,m
Ray Liotta,m
Nobuo Nakamura,m
Lamberto Maggiorani,m
Fred Clark,m
Takako Fuji,f
Raymond Bailey,m
Peter Mayhew,m
Robin Williams,m
Gianni Russo,m
François Caron,m
Brie Larson,f
Jenna Coleman,f
Michael V. Gazzo,m
Woody Harrelson,m
John Marley,m
Mark Hamill,m
Ian Holm,m
Anna Q. Nilsson,f
Vaughn Taylor,m
Tôru Abe,m
Jean-Philippe Baril-Guérard,m
Taylor Geare,f
Brooke Smith,f
David Prowse,m
Tuppence Middleton,f
Charlie Chaplin,m
Mark Boone Junior,m
Giacomo Poretti,m
Rosanna Arquette,f
H.B. Warner,m
Sherilyn Fenn,f
Himani Shivpuri,f
Alba Gaïa Bellugi,f
Mark Boone Junior,m
Richard Bright,m
Kathryn Newton,f
Yuji Okumoto,m
Henry Fonda,m
Jerome Flynn,m
Ving Rhames,m
Esther Garrel,f
Leo Gullotta,m
Angelo Novi,m
Clint Eastwood,m
Daniel Zacapa,m
Frankie Faison,m
John Hollis,m
Kyle MacLachlan,m
Memmo Carotenuto,m
Leandro Firmino,m
Ellen Burstyn,f
Mykelti Williamson,m
William Hartnell,m
Tsunehiko Kamijô,m
Michael Berryman,m
Bárbara Lennie,f
Aoi Yuki,f
Al Pacino,m
Jared Leto,m
Atsuro Watabe,m
Cillian Murphy,m
Holt McCallany,m
Ana Lúcia Torre,f
Chieko Baishô,f
Kimberly Campbell,f
Liv Tyler,f
Yo Oizumi,m
Elijah Wood,m
Leopoldo Trieste,m
Ian McKellen,m
Dominic Desnoyers,m
Christian Bale,m
Rupert Graves,m
William Duell,m
Alexandre Mihalesco,m
Scott Glenn,m
Diane Keaton,f
Maureen Lipman,f
Allelon Ruggiero,m
Totò,m
Saburo Date,m
William H. Macy,m
James Marshall,m
Mario Scarpetta,m
Danny Darst,m
Dominique Daguier,m
George Voskovec,m
Kyoko Kishida,f
Sylvain Lazard,m
Catherine Spaak,f
Marisa Paredes,f
Rachel Hayward,f
Miyu Irino,m
Don Creech,m
Peter Vaughan,m
Martin Balsam,m
Chester Conklin,m
Brandon Beach,m
Lawrence Makoare,m
Zac Efron,m
Adolphe Menjou,m
Sam Rockwell,m
Richard Portnow,m
Agnese Nano,f
Ron Vawter,m
Takuya Kimura,m
Eddie Byrne,m
Emilie Caen,f
Ryunosuke Kamiki,m
Richmond Arquette,m
George Kelly,m
Fred Aldrich,m
Kichijirô Ueda,m
David Ogden Stiers,m
Robert Helpmann,m
Martin Balsam,m
Paulette Goddard,f
Satish Shah,m
Izabela Vidovic,f
Dan Butler,m
Don Henderson,m
Saori Hayami,f
Vittorio Gassman,m
Lenny Montana,m
Elsa Lanchester,f
Steve Murphy,m
John Noble,m
Richard Schiff,m
Parmeet Sethi,m
Tim Roth,m
André Bervil,m
Michael Clarke Duncan,m
Joe Pantoliano,m
Ezra Buzzington,m
Adrien Brody,m
Shima Iwashita,f
Tim Roth,m
Hanna Hall,f
Jacob Tremblay,m
Kinuyo Tanaka,f
Gloria DeHaven,f
Eleanor Tomlinson,f
Orlando Bloom,m
Tatsuya Mihashi,m
Eion Bailey,m
Joe Pesci,m
Isao Kimura,m
Graham Greene,m
Leonardo DiCaprio,m
Robert De Niro,m
Yôko Katsuragi,f
Una Stubbs,f
Akemi Yamaguchi,f
Gary Oldman,m
Yūko Tanaka,f
Aldo Sambrell,m
Eijirō Tōno,m
Lima Duarte,m
Marilyn Lightstone,f
Marton Csokas,m
Jayson Blair,m
Toshirō Mifune,m
Ellis Rubin,m
Nino Manfredi,m
Lee J. Cobb,m
